state,state_display,date,year,month_number,month,date_label,division,division_name,inflation_yoy,inflation_mom,rank_highest_to_lowest,pressure_group
Johor,Johor,2022-05-01,2022,5,May,May 2022,01,Food and non-alcoholic beverages,6.0,1.4,3,Other states
Johor,Johor,2022-06-01,2022,6,June,June 2022,01,Food and non-alcoholic beverages,7.3,1.6,3,Other states
Johor,Johor,2022-07-01,2022,7,July,July 2022,01,Food and non-alcoholic beverages,7.7,0.3,3,Other states
Johor,Johor,2022-08-01,2022,8,August,August 2022,01,Food and non-alcoholic beverages,7.8,0.1,3,Other states
Johor,Johor,2022-09-01,2022,9,September,September 2022,01,Food and non-alcoholic beverages,7.1,0.3,4,Other states
Johor,Johor,2022-10-01,2022,10,October,October 2022,01,Food and non-alcoholic beverages,7.3,0.2,5,Other states
Johor,Johor,2022-11-01,2022,11,November,November 2022,01,Food and non-alcoholic beverages,7.6,1.0,4,Other states
Johor,Johor,2022-12-01,2022,12,December,December 2022,01,Food and non-alcoholic beverages,6.9,0.4,5,Other states
Johor,Johor,2023-01-01,2023,1,January,January 2023,01,Food and non-alcoholic beverages,6.8,0.5,5,Other states
Johor,Johor,2023-02-01,2023,2,February,February 2023,01,Food and non-alcoholic beverages,7.5,0.6,3,Other states
Johor,Johor,2023-03-01,2023,3,March,March 2023,01,Food and non-alcoholic beverages,6.9,-0.1,4,Other states
Johor,Johor,2023-04-01,2023,4,April,April 2023,01,Food and non-alcoholic beverages,6.1,-0.4,7,Other states
Johor,Johor,2023-05-01,2023,5,May,May 2023,01,Food and non-alcoholic beverages,5.1,0.4,11,Other states
Johor,Johor,2023-06-01,2023,6,June,June 2023,01,Food and non-alcoholic beverages,3.4,0.0,11,Other states
Johor,Johor,2023-07-01,2023,7,July,July 2023,01,Food and non-alcoholic beverages,3.4,0.3,11,Other states
Johor,Johor,2023-08-01,2023,8,August,August 2023,01,Food and non-alcoholic beverages,3.4,0.1,12,Other states
Johor,Johor,2023-09-01,2023,9,September,September 2023,01,Food and non-alcoholic beverages,3.2,0.1,12,Other states
Johor,Johor,2023-10-01,2023,10,October,October 2023,01,Food and non-alcoholic beverages,3.0,0.0,10,Other states
Johor,Johor,2023-11-01,2023,11,November,November 2023,01,Food and non-alcoholic beverages,1.7,-0.3,12,Other states
Johor,Johor,2023-12-01,2023,12,December,December 2023,01,Food and non-alcoholic beverages,1.8,0.6,11,Other states
Johor,Johor,2024-01-01,2024,1,January,January 2024,01,Food and non-alcoholic beverages,1.8,0.5,8,Other states
Johor,Johor,2024-02-01,2024,2,February,February 2024,01,Food and non-alcoholic beverages,1.3,0.1,9,Other states
Johor,Johor,2024-03-01,2024,3,March,March 2024,01,Food and non-alcoholic beverages,1.1,-0.2,9,Other states
Johor,Johor,2024-04-01,2024,4,April,April 2024,01,Food and non-alcoholic beverages,1.3,-0.2,10,Other states
Johor,Johor,2024-05-01,2024,5,May,May 2024,01,Food and non-alcoholic beverages,1.3,0.4,10,Other states
Johor,Johor,2024-06-01,2024,6,June,June 2024,01,Food and non-alcoholic beverages,1.8,0.5,6,Other states
Johor,Johor,2024-07-01,2024,7,July,July 2024,01,Food and non-alcoholic beverages,1.3,-0.2,9,Other states
Johor,Johor,2024-08-01,2024,8,August,August 2024,01,Food and non-alcoholic beverages,1.3,0.1,8,Other states
Johor,Johor,2024-09-01,2024,9,September,September 2024,01,Food and non-alcoholic beverages,1.4,0.2,6,Other states
Johor,Johor,2024-10-01,2024,10,October,October 2024,01,Food and non-alcoholic beverages,2.4,1.0,3,Other states
Johor,Johor,2024-11-01,2024,11,November,November 2024,01,Food and non-alcoholic beverages,2.9,0.1,3,Other states
Johor,Johor,2024-12-01,2024,12,December,December 2024,01,Food and non-alcoholic beverages,3.0,0.7,3,Other states
Johor,Johor,2025-01-01,2025,1,January,January 2025,01,Food and non-alcoholic beverages,2.6,0.1,6,Other states
Johor,Johor,2025-02-01,2025,2,February,February 2025,01,Food and non-alcoholic beverages,2.9,0.3,3,Other states
Johor,Johor,2025-03-01,2025,3,March,March 2025,01,Food and non-alcoholic beverages,2.9,-0.2,4,Other states
Johor,Johor,2025-04-01,2025,4,April,April 2025,01,Food and non-alcoholic beverages,3.0,-0.1,2,Other states
Johor,Johor,2025-05-01,2025,5,May,May 2025,01,Food and non-alcoholic beverages,2.4,-0.2,6,Other states
Johor,Johor,2025-06-01,2025,6,June,June 2025,01,Food and non-alcoholic beverages,2.2,0.3,5,Other states
Johor,Johor,2025-07-01,2025,7,July,July 2025,01,Food and non-alcoholic beverages,2.1,-0.2,6,Other states
Johor,Johor,2025-08-01,2025,8,August,August 2025,01,Food and non-alcoholic beverages,2.3,0.3,7,Other states
Johor,Johor,2025-09-01,2025,9,September,September 2025,01,Food and non-alcoholic beverages,2.2,0.1,8,Other states
Johor,Johor,2025-10-01,2025,10,October,October 2025,01,Food and non-alcoholic beverages,1.9,0.7,6,Other states
Johor,Johor,2025-11-01,2025,11,November,November 2025,01,Food and non-alcoholic beverages,2.0,0.2,6,Other states
Johor,Johor,2025-12-01,2025,12,December,December 2025,01,Food and non-alcoholic beverages,2.3,1.0,4,Other states
Johor,Johor,2026-01-01,2026,1,January,January 2026,01,Food and non-alcoholic beverages,2.5,0.3,3,Other states
Johor,Johor,2026-02-01,2026,2,February,February 2026,01,Food and non-alcoholic beverages,2.1,-0.1,3,Other states
Johor,Johor,2026-03-01,2026,3,March,March 2026,01,Food and non-alcoholic beverages,1.9,-0.4,3,Other states
Kedah,Kedah,2011-01-01,2011,1,January,January 2011,01,Food and non-alcoholic beverages,2.5,1.2,15,Other states
Kedah,Kedah,2011-02-01,2011,2,February,February 2011,01,Food and non-alcoholic beverages,3.7,0.7,12,Other states
Kedah,Kedah,2011-03-01,2011,3,March,March 2011,01,Food and non-alcoholic beverages,4.1,0.1,12,Other states
Kedah,Kedah,2011-04-01,2011,4,April,April 2011,01,Food and non-alcoholic beverages,4.1,0.0,12,Other states
Kedah,Kedah,2011-05-01,2011,5,May,May 2011,01,Food and non-alcoholic beverages,3.8,0.1,12,Other states
Kedah,Kedah,2011-06-01,2011,6,June,June 2011,01,Food and non-alcoholic beverages,3.8,0.4,12,Other states
Kedah,Kedah,2011-07-01,2011,7,July,July 2011,01,Food and non-alcoholic beverages,3.8,0.4,11,Other states
Kedah,Kedah,2011-08-01,2011,8,August,August 2011,01,Food and non-alcoholic beverages,3.4,-0.1,13,Other states
Kedah,Kedah,2011-09-01,2011,9,September,September 2011,01,Food and non-alcoholic beverages,4.5,0.7,11,Other states
Kedah,Kedah,2011-10-01,2011,10,October,October 2011,01,Food and non-alcoholic beverages,4.8,0.7,14,Other states
Kedah,Kedah,2011-11-01,2011,11,November,November 2011,01,Food and non-alcoholic beverages,4.2,0.1,14,Other states
Kedah,Kedah,2011-12-01,2011,12,December,December 2011,01,Food and non-alcoholic beverages,4.5,0.3,12,Other states
Kedah,Kedah,2012-01-01,2012,1,January,January 2012,01,Food and non-alcoholic beverages,4.2,0.9,9,Other states
Kedah,Kedah,2012-02-01,2012,2,February,February 2012,01,Food and non-alcoholic beverages,2.9,-0.6,7,Other states
Kedah,Kedah,2012-03-01,2012,3,March,March 2012,01,Food and non-alcoholic beverages,2.2,-0.6,14,Other states
Kedah,Kedah,2012-04-01,2012,4,April,April 2012,01,Food and non-alcoholic beverages,2.2,0.0,8,Other states
Kedah,Kedah,2012-05-01,2012,5,May,May 2012,01,Food and non-alcoholic beverages,3.1,0.9,6,Other states
Kedah,Kedah,2012-06-01,2012,6,June,June 2012,01,Food and non-alcoholic beverages,3.3,0.6,3,Other states
Kedah,Kedah,2012-07-01,2012,7,July,July 2012,01,Food and non-alcoholic beverages,3.0,0.1,5,Other states
Kedah,Kedah,2012-08-01,2012,8,August,August 2012,01,Food and non-alcoholic beverages,3.3,0.2,4,Other states
Kedah,Kedah,2012-09-01,2012,9,September,September 2012,01,Food and non-alcoholic beverages,2.8,0.2,4,Other states
Kedah,Kedah,2012-10-01,2012,10,October,October 2012,01,Food and non-alcoholic beverages,2.8,0.7,3,Other states
Kedah,Kedah,2012-11-01,2012,11,November,November 2012,01,Food and non-alcoholic beverages,2.5,-0.3,4,Other states
Kedah,Kedah,2012-12-01,2012,12,December,December 2012,01,Food and non-alcoholic beverages,2.5,0.3,5,Other states
Kedah,Kedah,2013-01-01,2013,1,January,January 2013,01,Food and non-alcoholic beverages,3.1,1.5,3,Other states
Kedah,Kedah,2013-02-01,2013,2,February,February 2013,01,Food and non-alcoholic beverages,3.7,0.0,4,Other states
Kedah,Kedah,2013-03-01,2013,3,March,March 2013,01,Food and non-alcoholic beverages,4.2,-0.1,3,Other states
Kedah,Kedah,2013-04-01,2013,4,April,April 2013,01,Food and non-alcoholic beverages,4.6,0.4,3,Other states
Kedah,Kedah,2013-05-01,2013,5,May,May 2013,01,Food and non-alcoholic beverages,4.0,0.5,5,Other states
Kedah,Kedah,2013-06-01,2013,6,June,June 2013,01,Food and non-alcoholic beverages,3.6,0.1,6,Other states
Kedah,Kedah,2013-07-01,2013,7,July,July 2013,01,Food and non-alcoholic beverages,4.3,0.8,5,Other states
Kedah,Kedah,2013-08-01,2013,8,August,August 2013,01,Food and non-alcoholic beverages,3.9,-0.2,5,Other states
