strata,strata_display,date,date_number,year,month_number,month,division,division_name,food_consumer_price_index
urban,Urban households,2022-09-01,20220901,2022,9,September,01,Food and beverages,150.0
urban,Urban households,2022-10-01,20221001,2022,10,October,01,Food and beverages,150.8
urban,Urban households,2022-11-01,20221101,2022,11,November,01,Food and beverages,152.0
urban,Urban households,2022-12-01,20221201,2022,12,December,01,Food and beverages,152.9
urban,Urban households,2023-01-01,20230101,2023,1,January,01,Food and beverages,153.8
urban,Urban households,2023-02-01,20230201,2023,2,February,01,Food and beverages,154.5
urban,Urban households,2023-03-01,20230301,2023,3,March,01,Food and beverages,154.6
urban,Urban households,2023-04-01,20230401,2023,4,April,01,Food and beverages,154.4
urban,Urban households,2023-05-01,20230501,2023,5,May,01,Food and beverages,155.2
urban,Urban households,2023-06-01,20230601,2023,6,June,01,Food and beverages,155.3
urban,Urban households,2023-07-01,20230701,2023,7,July,01,Food and beverages,155.9
urban,Urban households,2023-08-01,20230801,2023,8,August,01,Food and beverages,156.1
urban,Urban households,2023-09-01,20230901,2023,9,September,01,Food and beverages,156.2
urban,Urban households,2023-10-01,20231001,2023,10,October,01,Food and beverages,156.4
urban,Urban households,2023-11-01,20231101,2023,11,November,01,Food and beverages,155.9
urban,Urban households,2023-12-01,20231201,2023,12,December,01,Food and beverages,156.4
urban,Urban households,2024-01-01,20240101,2024,1,January,01,Food and beverages,156.8
urban,Urban households,2024-02-01,20240201,2024,2,February,01,Food and beverages,157.4
urban,Urban households,2024-03-01,20240301,2024,3,March,01,Food and beverages,157.4
urban,Urban households,2024-04-01,20240401,2024,4,April,01,Food and beverages,157.6
urban,Urban households,2024-05-01,20240501,2024,5,May,01,Food and beverages,158.0
urban,Urban households,2024-06-01,20240601,2024,6,June,01,Food and beverages,158.5
urban,Urban households,2024-07-01,20240701,2024,7,July,01,Food and beverages,158.6
urban,Urban households,2024-08-01,20240801,2024,8,August,01,Food and beverages,158.7
urban,Urban households,2024-09-01,20240901,2024,9,September,01,Food and beverages,158.8
urban,Urban households,2024-10-01,20241001,2024,10,October,01,Food and beverages,160.2
urban,Urban households,2024-11-01,20241101,2024,11,November,01,Food and beverages,160.2
urban,Urban households,2024-12-01,20241201,2024,12,December,01,Food and beverages,161.0
urban,Urban households,2025-01-01,20250101,2025,1,January,01,Food and beverages,161.3
urban,Urban households,2025-02-01,20250201,2025,2,February,01,Food and beverages,161.6
urban,Urban households,2025-03-01,20250301,2025,3,March,01,Food and beverages,161.6
urban,Urban households,2025-04-01,20250401,2025,4,April,01,Food and beverages,161.6
urban,Urban households,2025-05-01,20250501,2025,5,May,01,Food and beverages,161.7
urban,Urban households,2025-06-01,20250601,2025,6,June,01,Food and beverages,162.0
urban,Urban households,2025-07-01,20250701,2025,7,July,01,Food and beverages,162.0
urban,Urban households,2025-08-01,20250801,2025,8,August,01,Food and beverages,162.1
urban,Urban households,2025-09-01,20250901,2025,9,September,01,Food and beverages,162.4
urban,Urban households,2025-10-01,20251001,2025,10,October,01,Food and beverages,162.7
urban,Urban households,2025-11-01,20251101,2025,11,November,01,Food and beverages,162.7
urban,Urban households,2025-12-01,20251201,2025,12,December,01,Food and beverages,163.5
urban,Urban households,2026-01-01,20260101,2026,1,January,01,Food and beverages,163.8
urban,Urban households,2026-02-01,20260201,2026,2,February,01,Food and beverages,163.7
urban,Urban households,2026-03-01,20260301,2026,3,March,01,Food and beverages,163.5
urban,Urban households,2026-04-01,20260401,2026,4,April,01,Food and beverages,163.7
rural,Rural households,2010-01-01,20100101,2010,1,January,01,Food and beverages,99.3
rural,Rural households,2010-02-01,20100201,2010,2,February,01,Food and beverages,99.1
