state,map_state,date,year,month_number,month,division,division_name,inflation_yoy,inflation_mom
Kedah,Kedah,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,3.1,0.9
Kelantan,Kelantan,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,2.4,0.7
Melaka,Melaka,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,3.5,1.2
Negeri Sembilan,Negeri Sembilan,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,1.8,0.7
Pahang,Pahang,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,3.6,1.1
Perak,Perak,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,1.9,0.5
Perlis,Perlis,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,0.5,0.0
Pulau Pinang,Penang,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,3.7,0.6
Sabah,Sabah,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,2.5,0.2
Sarawak,Sarawak,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,3.1,-0.1
Selangor,Selangor,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,3.1,0.6
Terengganu,Terengganu,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,2.2,0.8
W.P. Kuala Lumpur,Kuala Lumpur,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,2.4,0.7
W.P. Labuan,Labuan,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,5.5,-0.1
W.P. Putrajaya,Putrajaya,2012-05-01,2012,5,May,01,Food and non-alcoholic beverages,2.9,0.2
