state,state_display,map_state,year,date,crop_type,crop_group,crop_order,planted_area,production,production_thousand_tonnes,total_production_for_crop_year,production_share_percent,production_rank
W.P. Labuan,Labuan,Labuan,2021,2021-01-01,paddy,Paddy,1,0.0,0.0,0.0,2441597.0,0.0,14
Kedah,Kedah,Kedah,2022,2022-01-01,paddy,Paddy,1,213718.0,834901.0,834.901,2281739.0,36.590556588637,1
Kelantan,Kelantan,Kelantan,2022,2022-01-01,paddy,Paddy,1,74017.0,272633.0,272.633,2281739.0,11.94847438729846,2
Perak,Perak,Perak,2022,2022-01-01,paddy,Paddy,1,74594.0,269790.0,269.79,2281739.0,11.823876438102692,3
Perlis,Perlis,Perlis,2022,2022-01-01,paddy,Paddy,1,60470.0,233781.0,233.781,2281739.0,10.245738009474353,4
Selangor,Selangor,Selangor,2022,2022-01-01,paddy,Paddy,1,35539.0,153492.0,153.492,2281739.0,6.726974469910889,5
Sarawak,Sarawak,Sarawak,2022,2022-01-01,paddy,Paddy,1,77943.0,147272.0,147.272,2281739.0,6.4543753689620065,6
Pulau Pinang,Penang,Penang,2022,2022-01-01,paddy,Paddy,1,24210.0,122321.0,122.321,2281739.0,5.3608673034032375,7
Sabah,Sabah,Sabah,2022,2022-01-01,paddy,Paddy,1,37323.0,107565.0,107.565,2281739.0,4.714167571312933,8
Terengganu,Terengganu,Terengganu,2022,2022-01-01,paddy,Paddy,1,18957.0,62712.0,62.712,2281739.0,2.748430035161778,9
Pahang,Pahang,Pahang,2022,2022-01-01,paddy,Paddy,1,13757.0,51185.0,51.185,2281739.0,2.243245173965997,10
Johor,Johor,Johor,2022,2022-01-01,paddy,Paddy,1,2776.0,10832.0,10.832,2281739.0,0.4747256368936149,11
Melaka,Melaka,Melaka,2022,2022-01-01,paddy,Paddy,1,3318.0,10314.0,10.314,2281739.0,0.4520236538885473,12
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2022,2022-01-01,paddy,Paddy,1,1313.0,4941.0,4.941,2281739.0,0.21654536298849253,13
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2022,2022-01-01,paddy,Paddy,1,0.0,0.0,0.0,2281739.0,0.0,14
W.P. Labuan,Labuan,Labuan,2022,2022-01-01,paddy,Paddy,1,0.0,0.0,0.0,2281739.0,0.0,14
Johor,Johor,Johor,2017,2017-01-01,fruits,Fruits,2,59264.8,603693.0,603.693,1492600.8,40.445710601253865,1
Pahang,Pahang,Pahang,2017,2017-01-01,fruits,Fruits,2,33209.9,195934.8,195.9348,1492600.8,13.127073226813224,2
Sarawak,Sarawak,Sarawak,2017,2017-01-01,fruits,Fruits,2,35248.7,150688.5,150.6885,1492600.8,10.095700069301852,3
Sabah,Sabah,Sabah,2017,2017-01-01,fruits,Fruits,2,17592.5,108917.5,108.9175,1492600.8,7.297162107912578,4
Perak,Perak,Perak,2017,2017-01-01,fruits,Fruits,2,10914.0,106278.7,106.2787,1492600.8,7.120370027940491,5
Kelantan,Kelantan,Kelantan,2017,2017-01-01,fruits,Fruits,2,17263.5,88107.3,88.10730000000001,1492600.8,5.902938012628694,6
Kedah,Kedah,Kedah,2017,2017-01-01,fruits,Fruits,2,10687.0,49420.8,49.4208,1492600.8,3.3110527610597558,7
Terengganu,Terengganu,Terengganu,2017,2017-01-01,fruits,Fruits,2,6151.2,48781.4,48.781400000000005,1492600.8,3.268214783215981,8
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2017,2017-01-01,fruits,Fruits,2,5789.9,45220.9,45.2209,1492600.8,3.029671429896058,9
Melaka,Melaka,Melaka,2017,2017-01-01,fruits,Fruits,2,3587.7,31383.1,31.3831,1492600.8,2.1025782647309312,10
Perlis,Perlis,Perlis,2017,2017-01-01,fruits,Fruits,2,4120.8,27847.9,27.847900000000003,1492600.8,1.8657299393113016,11
