state,state_display,date,year,month_number,month,date_number,division,division_name,food_consumer_price_index
Kelantan,Kelantan,2014-11-01,2014,11,November,201411,01,Food and non-alcoholic beverages,117.0
Kelantan,Kelantan,2014-12-01,2014,12,December,201412,01,Food and non-alcoholic beverages,118.3
Kelantan,Kelantan,2015-01-01,2015,1,January,201501,01,Food and non-alcoholic beverages,119.2
Kelantan,Kelantan,2015-02-01,2015,2,February,201502,01,Food and non-alcoholic beverages,118.9
Kelantan,Kelantan,2015-03-01,2015,3,March,201503,01,Food and non-alcoholic beverages,117.9
Kelantan,Kelantan,2015-04-01,2015,4,April,201504,01,Food and non-alcoholic beverages,118.7
Kelantan,Kelantan,2015-05-01,2015,5,May,201505,01,Food and non-alcoholic beverages,119.7
Kelantan,Kelantan,2015-06-01,2015,6,June,201506,01,Food and non-alcoholic beverages,120.0
Kelantan,Kelantan,2015-07-01,2015,7,July,201507,01,Food and non-alcoholic beverages,122.0
Kelantan,Kelantan,2015-08-01,2015,8,August,201508,01,Food and non-alcoholic beverages,121.3
Kelantan,Kelantan,2015-09-01,2015,9,September,201509,01,Food and non-alcoholic beverages,121.2
Kelantan,Kelantan,2015-10-01,2015,10,October,201510,01,Food and non-alcoholic beverages,121.0
Kelantan,Kelantan,2015-11-01,2015,11,November,201511,01,Food and non-alcoholic beverages,120.9
Kelantan,Kelantan,2015-12-01,2015,12,December,201512,01,Food and non-alcoholic beverages,121.5
Kelantan,Kelantan,2016-01-01,2016,1,January,201601,01,Food and non-alcoholic beverages,122.482695063025
Kelantan,Kelantan,2016-02-01,2016,2,February,201602,01,Food and non-alcoholic beverages,123.321637247899
Kelantan,Kelantan,2016-03-01,2016,3,March,201603,01,Food and non-alcoholic beverages,122.645484642857
Kelantan,Kelantan,2016-04-01,2016,4,April,201604,01,Food and non-alcoholic beverages,122.130232752101
Kelantan,Kelantan,2016-05-01,2016,5,May,201605,01,Food and non-alcoholic beverages,122.913254306723
Kelantan,Kelantan,2016-06-01,2016,6,June,201606,01,Food and non-alcoholic beverages,124.716722710084
Kelantan,Kelantan,2016-07-01,2016,7,July,201607,01,Food and non-alcoholic beverages,125.260818088235
Kelantan,Kelantan,2016-08-01,2016,8,August,201608,01,Food and non-alcoholic beverages,124.85474262605
Kelantan,Kelantan,2016-09-01,2016,9,September,201609,01,Food and non-alcoholic beverages,124.547842815126
Kelantan,Kelantan,2016-10-01,2016,10,October,201610,01,Food and non-alcoholic beverages,123.316971239496
