state,state_display,date,year,month_number,month,period_id,period_label,date_number,division,division_name,inflation_yoy,inflation_mom
Pahang,Pahang,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,4.9,0.5
Pulau Pinang,Penang,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,5.7,0.6
Perak,Perak,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,4.6,0.4
Perlis,Perlis,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,3.7,0.2
W.P. Putrajaya,Putrajaya,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,3.6,0.4
Sabah,Sabah,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,5.0,0.0
Sarawak,Sarawak,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,3.2,0.1
Selangor,Selangor,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,5.5,0.6
Terengganu,Terengganu,2011-07-01,2011,7,July,2011-07,July 2011,201107,01,Food and non-alcoholic beverages,6.3,0.7
Johor,Johor,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,5.0,-0.3
Kedah,Kedah,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,3.4,-0.1
Kelantan,Kelantan,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,6.3,0.3
W.P. Kuala Lumpur,Kuala Lumpur,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,3.1,-0.3
W.P. Labuan,Labuan,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,2.3,0.1
Melaka,Melaka,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,4.2,-0.1
Negeri Sembilan,Negeri Sembilan,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,5.8,0.2
Pahang,Pahang,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,4.7,-0.1
Pulau Pinang,Penang,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,5.1,0.0
Perak,Perak,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,4.3,-0.1
Perlis,Perlis,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,3.5,-0.1
W.P. Putrajaya,Putrajaya,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,3.8,0.2
Sabah,Sabah,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,4.9,0.5
Sarawak,Sarawak,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,3.0,0.0
Selangor,Selangor,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,5.0,-0.2
Terengganu,Terengganu,2011-08-01,2011,8,August,2011-08,August 2011,201108,01,Food and non-alcoholic beverages,5.9,0.0
Johor,Johor,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,5.9,0.7
Kedah,Kedah,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,4.5,0.7
Kelantan,Kelantan,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,6.0,0.1
W.P. Kuala Lumpur,Kuala Lumpur,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,3.6,0.4
W.P. Labuan,Labuan,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,2.8,0.2
Melaka,Melaka,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,4.7,0.4
Negeri Sembilan,Negeri Sembilan,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,6.2,0.5
Pahang,Pahang,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,5.0,0.2
Pulau Pinang,Penang,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,5.0,0.3
Perak,Perak,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,4.9,0.5
Perlis,Perlis,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,4.2,0.6
W.P. Putrajaya,Putrajaya,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,4.3,1.4
Sabah,Sabah,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,4.9,0.3
Sarawak,Sarawak,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,3.1,0.2
Selangor,Selangor,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,5.4,0.5
Terengganu,Terengganu,2011-09-01,2011,9,September,2011-09,September 2011,201109,01,Food and non-alcoholic beverages,6.1,0.3
Johor,Johor,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,6.9,0.9
Kedah,Kedah,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,4.8,0.7
Kelantan,Kelantan,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,6.7,0.2
W.P. Kuala Lumpur,Kuala Lumpur,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,5.2,1.4
W.P. Labuan,Labuan,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,3.9,1.7
Melaka,Melaka,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,6.0,0.9
Negeri Sembilan,Negeri Sembilan,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,6.5,0.7
Pahang,Pahang,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,6.0,1.0
Pulau Pinang,Penang,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,5.6,0.7
Perak,Perak,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,5.7,1.0
Perlis,Perlis,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,5.3,1.1
W.P. Putrajaya,Putrajaya,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,4.9,0.6
Sabah,Sabah,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,5.0,0.4
Sarawak,Sarawak,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,3.6,0.8
Selangor,Selangor,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,6.1,0.7
Terengganu,Terengganu,2011-10-01,2011,10,October,2011-10,October 2011,201110,01,Food and non-alcoholic beverages,6.7,0.0
Johor,Johor,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.8,-0.4
Kedah,Kedah,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,4.2,0.1
Kelantan,Kelantan,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.4,-0.2
W.P. Kuala Lumpur,Kuala Lumpur,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,4.7,-0.3
W.P. Labuan,Labuan,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.2,0.0
Melaka,Melaka,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.8,0.0
Negeri Sembilan,Negeri Sembilan,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.1,-0.7
