state,state_display,year,indicator,indicator_order,indicator_value,indicator_value_label,exposure_score,overall_exposure_score,indicator_meaning,unit,food_crop_planted_area_hectares,food_crop_production_tonnes,fish_landings_tonnes,population_thousand,pressure_band
Melaka,Melaka,2022,"Crop production per 1,000 residents",2,71.91374182034502,71.9,92.9589079857416,59.00948527588777,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",12828.4,72532.2,2001,1008.6,Higher exposure
Melaka,Melaka,2022,"Fish landings per 1,000 residents",3,1.9839381320642475,2.0,99.21477362813764,59.00948527588777,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",12828.4,72532.2,2001,1008.6,Higher exposure
Melaka,Melaka,2022,Population,4,1008.6,"1,008.6 thousand",13.111571317628787,59.00948527588777,Higher values mean stronger demand pressure,thousand people,12828.4,72532.2,2001,1008.6,Lower exposure
Negeri Sembilan,Negeri Sembilan,2018,Food inflation,1,1.5583333333333333,1.6%,95.02923976608187,75.94857165486503,Higher values mean more price pressure,%,10696.6,100406.8,666,1122.9,Higher exposure
Negeri Sembilan,Negeri Sembilan,2018,"Crop production per 1,000 residents",2,89.41740137144892,89.4,92.70638938788264,75.94857165486503,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",10696.6,100406.8,666,1122.9,Higher exposure
Negeri Sembilan,Negeri Sembilan,2018,"Fish landings per 1,000 residents",3,0.5931071333155222,0.6,100.0,75.94857165486503,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",10696.6,100406.8,666,1122.9,Higher exposure
Negeri Sembilan,Negeri Sembilan,2018,Population,4,1122.9,"1,122.9 thousand",16.05865746549561,75.94857165486503,Higher values mean stronger demand pressure,thousand people,10696.6,100406.8,666,1122.9,Lower exposure
Negeri Sembilan,Negeri Sembilan,2019,Food inflation,1,1.5,1.5%,46.35036496350365,63.08927356484022,Higher values mean more price pressure,%,10787.0,113031.2,672,1126.2,Moderate exposure
Negeri Sembilan,Negeri Sembilan,2019,"Crop production per 1,000 residents",2,100.36512164801988,100.4,89.97844684596024,63.08927356484022,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",10787.0,113031.2,672,1126.2,Higher exposure
Negeri Sembilan,Negeri Sembilan,2019,"Fish landings per 1,000 residents",3,0.5966968566862013,0.6,100.0,63.08927356484022,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",10787.0,113031.2,672,1126.2,Higher exposure
Negeri Sembilan,Negeri Sembilan,2019,Population,4,1126.2,"1,126.2 thousand",16.028282449896984,63.08927356484022,Higher values mean stronger demand pressure,thousand people,10787.0,113031.2,672,1126.2,Lower exposure
Negeri Sembilan,Negeri Sembilan,2020,Food inflation,1,1.2166666666666666,1.2%,55.04587155963303,64.91639381514594,Higher values mean more price pressure,%,10893.7,117142.29999999999,597,1200.0,Moderate exposure
Negeri Sembilan,Negeri Sembilan,2020,"Crop production per 1,000 residents",2,97.61858333333332,97.6,88.60503554621037,64.91639381514594,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",10893.7,117142.29999999999,597,1200.0,Higher exposure
Negeri Sembilan,Negeri Sembilan,2020,"Fish landings per 1,000 residents",3,0.4975,0.5,100.0,64.91639381514594,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",10893.7,117142.29999999999,597,1200.0,Higher exposure
Negeri Sembilan,Negeri Sembilan,2020,Population,4,1200.0,"1,200.0 thousand",16.01466815474034,64.91639381514594,Higher values mean stronger demand pressure,thousand people,10893.7,117142.29999999999,597,1200.0,Lower exposure
Negeri Sembilan,Negeri Sembilan,2021,Food inflation,1,1.5833333333333333,1.6%,52.995391705069125,64.9893373264749,Higher values mean more price pressure,%,10816.1,115567.6,567,1204.2,Moderate exposure
Negeri Sembilan,Negeri Sembilan,2021,"Crop production per 1,000 residents",2,95.97043680451752,96.0,90.94449767338745,64.9893373264749,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",10816.1,115567.6,567,1204.2,Higher exposure
Negeri Sembilan,Negeri Sembilan,2021,"Fish landings per 1,000 residents",3,0.4708520179372197,0.5,100.0,64.9893373264749,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",10816.1,115567.6,567,1204.2,Higher exposure
Negeri Sembilan,Negeri Sembilan,2021,Population,4,1204.2,"1,204.2 thousand",16.017459927443017,64.9893373264749,Higher values mean stronger demand pressure,thousand people,10816.1,115567.6,567,1204.2,Lower exposure
Negeri Sembilan,Negeri Sembilan,2022,Food inflation,1,4.783333333333333,4.8%,34.623655913978496,60.23923339640867,Higher values mean more price pressure,%,11063.5,113462.29999999999,599,1207.9,Moderate exposure
Negeri Sembilan,Negeri Sembilan,2022,"Crop production per 1,000 residents",2,93.93352098683664,93.9,90.355482636134,60.23923339640867,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",11063.5,113462.29999999999,599,1207.9,Higher exposure
Negeri Sembilan,Negeri Sembilan,2022,"Fish landings per 1,000 residents",3,0.4959019786406159,0.5,100.0,60.23923339640867,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",11063.5,113462.29999999999,599,1207.9,Higher exposure
Negeri Sembilan,Negeri Sembilan,2022,Population,4,1207.9,"1,207.9 thousand",15.977795035522188,60.23923339640867,Higher values mean stronger demand pressure,thousand people,11063.5,113462.29999999999,599,1207.9,Lower exposure
Pahang,Pahang,2018,Food inflation,1,1.125,1.1%,79.82456140350878,62.20706427437665,Higher values mean more price pressure,%,61295.3,659058.6,121205,1664.7,Higher exposure
Pahang,Pahang,2018,"Crop production per 1,000 residents",2,395.90232474319697,395.9,63.5489401001323,62.20706427437665,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",61295.3,659058.6,121205,1664.7,Moderate exposure
